t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,front_v,front_d,psi_t
1692.0,998.74,1017.3,4.354694133920313,27.0,2.610429083503324,9.62157989670544,25,10.122479088160166,-1.5961017379439124
1693.0,998.74,1017.3,4.352559362030574,26.0,2.610429083503324,9.62157989670544,25,10.122479088160166,-1.6272019492773766
1694.0,998.75,1016.7,4.3435115977743175,25.0,2.610429083503324,9.021496569158431,25,9.522395760613158,-1.6438509015620768
1695.0,998.68,1016.2,4.324349315214949,24.0,2.610429083503324,8.516620346703851,25,9.017519538158577,-1.6515217818763928
1696.0,998.68,1016.2,4.296209026572148,23.0,2.610429083503324,8.516620346703851,25,9.017519538158577,-1.6532851703183744
1697.0,998.6,1015.5,4.261016897408411,22.0,2.610429083503324,7.812063748551473,25,8.312962940006198,-1.6510422309143575
1698.0,998.58,1014.9,4.217775835674534,21.0,2.610429083503324,7.211730507759305,25,7.712629699214031,-1.646084631446888
1699.0,998.54,1014.4,4.167551799318156,20.0,2.610429083503324,6.7101330595999205,25,7.211032251054647,-1.6393720207354967
1700.0,998.54,1014.4,4.113337452726192,19.0,2.610429083503324,6.7101330595999205,25,7.211032251054647,-1.6316780532204709
1701.0,998.51,1013.9,4.054067833670275,18.0,2.610429083503324,6.209233868145193,25,6.7101330595999205,-1.6236688203248961
1702.0,998.49,1013.4,3.9898102711783183,17.0,2.610429083503324,5.708834028017322,25,6.2097332194720485,-1.6159426234311522
1703.0,998.46,1012.8,3.922494104520744,16.0,2.610429083503324,5.108084496182278,25,5.6089836876370045,-1.609044953206844
1704.0,998.46,1012.8,3.8521860027781623,15.0,2.610429083503324,5.108084496182278,25,5.6089836876370045,-1.6034658108946047
1705.0,998.43,1012.2,3.777887769640597,14.0,2.610429083503324,4.507334964347342,25,5.008234155802068,-1.5996236496395706
1706.0,998.4,1011.6,3.7015949265147854,13.0,2.610429083503324,3.9065854325122977,25,4.407484623967023,-1.5978393278581093
1707.0,998.4,1011.6,3.622309346259649,12.0,2.610429083503324,3.9065854325122977,25,4.407484623967023,-1.5983036161952122
1708.0,998.42,1011.0,3.5410288053050345,11.0,2.610429083503324,3.3062521917201297,25,3.807151383174857,-1.6010423749228608
1709.0,998.42,1011.0,3.458688913446828,10.0,2.610429083503324,3.3062521917201297,25,3.807151383174857,-1.6058839639578373
1710.0,998.4,1010.4,3.3744166903333084,9.0,2.610429083503324,2.705918950927962,25,3.206818142382689,-1.6124331682678676
1711.0,998.34,1009.8,3.2891473059137986,8.0,2.610429083503324,2.102926413660692,25,2.603825605115418,-1.6200543306041943
1712.0,998.34,1009.8,3.2049377529056624,7.0,2.610429083503324,2.102926413660692,25,2.603825605115418,-1.6278630628776587
1713.0,998.31,1009.1,3.120668037456084,6.0,2.610429083503324,1.4022838514366214,25,1.903183042891348,-1.634720777679671
1714.0,998.31,1009.1,3.035461085238946,5.0,2.610429083503324,1.4022838514366214,25,1.903183042891348,-1.6392195655242965
1715.0,998.31,1009.1,2.9521913894597014,4.0,2.610429083503324,1.4022838514366214,25,1.903183042891348,-1.6396366875108261
1716.0,998.27,1008.4,2.867983612226541,3.0,2.610429083503324,0.7011419257182538,25,1.20204111717298,-1.6338270166361029
1717.0,998.27,1008.4,2.7837762122699448,2.0,2.610429083503324,0.7011419257182538,25,1.20204111717298,-1.6190044408922568
1718.0,998.23,1007.7,2.6976309977459847,1.0,2.610429083503324,0.0,25,0.5008991914547263,-1.5913320722804376
1719.0,998.23,1007.7,2.610429083503324,0.0,2.610429083503324,0.0,25,0.5008991914547263,-1.5913320722804376
1746.0,997.87,1004.3,0.0,65.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1747.0,997.87,1004.3,0.0,64.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1748.0,997.87,1004.3,0.0,63.0,0.0,0.0,25,6.8662628584554435,-1.5707963267948966
1749.0,997.87,1004.3,0.0,62.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1750.0,997.87,1004.3,0.0,61.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1751.0,997.87,1004.3,0.0,60.0,0.0,0.0,25,6.8662628584554435,0.0
1752.0,997.87,1004.3,0.0,59.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1753.0,997.87,1004.3,0.0,58.0,0.0,0.0,25,6.8662628584554435,0.0
1754.0,997.87,1004.3,0.0,57.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1755.0,997.87,1004.3,0.0,56.0,0.0,0.0,25,6.8662628584554435,0.0
1756.0,997.87,1004.3,0.0,55.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1757.0,997.87,1004.3,0.0,54.0,0.0,0.0,25,6.8662628584554435,-1.5707963267948966
1758.0,997.87,1004.3,0.0,53.0,0.0,0.0,25,6.8662628584554435,0.0
1759.0,997.87,1004.3,0.0,52.0,0.0,0.0,25,6.8662628584554435,3.141592653589793
1760.0,997.87,1004.3,0.0,51.0,0.0,0.0,25,6.8662628584554435,0.0
1761.0,997.87,1004.3,0.0,50.0,0.0,0.0,25,6.8662628584554435,0.0
1762.0,997.87,1004.3,0.0,49.0,0.0,0.0,25,6.8662628584554435,0.0
