t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal
476.0,1051.7,985.57,7.926808752581332,80.0,2.9206112373953506,32.72371982568446
477.0,1050.3,985.61,7.905842965806998,79.0,2.9206112373953506,31.323148513683442
478.0,1049.5,985.64,7.863858149788817,78.0,2.9206112373953506,30.522586211298474
479.0,1048.8,985.66,7.801908099945808,77.0,2.9206112373953506,29.822300555297964
480.0,1048.0,985.69,7.721938228191158,76.0,2.9206112373953506,29.021738252912993
481.0,1047.3,985.64,7.624947737525813,75.0,2.9206112373953506,28.319954810532032
482.0,1046.6,985.67,7.512991681081512,74.0,2.9206112373953506,27.619312248307853
483.0,1045.9,985.71,7.390012855198561,73.0,2.9206112373953506,26.918170322589702
484.0,1045.2,985.73,7.2570680718868825,72.0,2.9206112373953506,26.217884666589192
485.0,1044.5,985.75,7.115099718204939,71.0,2.9206112373953506,25.517599010588683
486.0,1043.8,985.77,6.966166018693497,70.0,2.9206112373953506,24.817313354588183
487.0,1043.1,985.79,6.812237591276452,69.0,2.9206112373953506,24.117027698587673
488.0,1042.4,985.81,6.655313967049188,68.0,2.9206112373953506,23.4167420425874
489.0,1041.7,985.83,6.4944285352908455,67.0,2.9206112373953506,22.716456386586906
490.0,1041.1,985.86,6.3335156903571335,66.0,2.9206112373953506,22.115706854751704
491.0,1040.4,985.88,6.1726073907223356,65.0,2.9206112373953506,21.415421198751403
492.0,1039.8,985.91,6.013702769508982,64.0,2.9206112373953506,20.814671666916304
493.0,1039.1,985.93,5.858800730524978,63.0,2.9206112373953506,20.1143860109158
494.0,1038.5,985.96,5.70986304564304,62.0,2.9206112373953506,19.5136364790808
495.0,1037.8,985.98,5.568923235240364,61.0,2.9206112373953506,18.813350823080306
496.0,1037.8,985.98,5.436941971365889,60.0,2.9206112373953506,18.813350823080306
497.0,1037.2,985.99,5.3159541946860305,59.0,2.9206112373953506,18.2132674955333
498.0,1036.6,986.01,5.2069586132405545,58.0,2.9206112373953506,17.612934254741006
499.0,1036.0,986.03,5.108877176053463,57.0,2.9206112373953506,17.012601013949002
500.0,1035.3,986.05,5.022825599202107,56.0,2.9206112373953506,16.312315357948503
501.0,1034.7,986.07,4.947726750741193,55.0,2.9206112373953506,15.711982117156403
502.0,1034.7,986.07,4.882620710233388,54.0,2.9206112373953506,15.711982117156403
503.0,1034.1,986.09,4.823472711646662,53.0,2.9206112373953506,15.111648876364104
504.0,1033.5,986.11,4.770322106524883,52.0,2.9206112373953506,14.511315635572103
505.0,1032.9,986.13,4.720134849768595,51.0,2.9206112373953506,13.910982394780003
506.0,1032.3,986.15,4.669951284542484,50.0,2.9206112373953506,13.310649153987704
507.0,1032.3,986.15,4.616773332101111,49.0,2.9206112373953506,13.310649153987704
508.0,1031.7,986.18,4.5585683059487,48.0,2.9206112373953506,12.709899622152804
509.0,1031.2,986.2,4.493372564121519,47.0,2.9206112373953506,12.209499782024903
510.0,1030.6,986.21,4.4171875667668905,46.0,2.9206112373953506,11.609416454477703
511.0,1030.0,986.23,4.330981643923234,45.0,2.9206112373953506,11.009083213685603
512.0,1030.0,986.23,4.2318171037983205,44.0,2.9206112373953506,11.009083213685603
513.0,1029.4,986.26,4.12063308242799,43.0,2.9206112373953506,10.408333681850703
514.0,1028.9,986.26,3.996486707096622,42.0,2.9206112373953506,9.908333681850703
515.0,1028.9,986.26,3.861347433215509,41.0,2.9206112373953506,9.908333681850703
516.0,1028.3,986.28,3.7152147986354707,40.0,2.9206112373953506,9.308000441058404
517.0,1027.7,986.29,3.561112326226175,39.0,2.9206112373953506,8.707917113511403
518.0,1027.7,986.29,3.401012937346754,38.0,2.9206112373953506,8.707917113511403
519.0,1027.2,986.32,3.2389154048847892,37.0,2.9206112373953506,8.207017922056703
520.0,1026.7,986.34,3.077842263664595,36.0,2.9206112373953506,7.706618081928802
521.0,1026.7,986.34,2.920791673502237,35.0,2.9206112373953506,7.706618081928802
522.0,1026.1,986.34,2.7687397855342057,34.0,2.9206112373953506,7.106618081928705
523.0,1026.1,986.34,2.625708666246124,33.0,2.9206112373953506,7.106618081928705
524.0,1025.6,986.37,2.4926748684896713,32.0,2.9206112373953506,6.605718890474005
525.0,1025.6,986.37,2.3716378306984396,31.0,2.9206112373953506,6.605718890474005
526.0,1025.1,986.39,2.2616211000076913,30.0,2.9206112373953506,6.105319050346104
527.0,1025.1,986.39,2.163601164725144,29.0,2.9206112373953506,6.105319050346104
528.0,1024.5,986.42,2.0796011636849987,28.0,2.9206112373953506,5.504569518511204
529.0,1024.5,986.42,2.006598365393533,27.0,2.9206112373953506,5.504569518511204
530.0,1024.5,986.42,1.9475915896306393,26.0,2.9206112373953506,5.504569518511204
531.0,1024.0,986.43,1.8995815328645411,25.0,2.9206112373953506,5.004469528509205
532.0,1024.0,986.43,1.8635927666740928,24.0,2.9206112373953506,5.004469528509205
533.0,1024.0,986.43,1.8396005001086513,23.0,2.9206112373953506,5.004469528509205
534.0,1023.5,986.45,1.8266047738906193,22.0,2.9206112373953506,4.504069688381303
535.0,1023.5,986.45,1.822606101163935,21.0,2.9206112373953506,4.504069688381303
536.0,1023.0,986.46,1.8296297439646088,20.0,2.9206112373953506,4.003969698379304
537.0,1023.0,986.46,1.8456242846256656,19.0,2.9206112373953506,4.003969698379304
538.0,1023.0,986.46,1.8706418684505062,18.0,2.9206112373953506,4.003969698379304
539.0,1022.4,986.47,1.902683631085315,17.0,2.9206112373953506,3.403886370832204
540.0,1022.4,986.47,1.9426960647512517,16.0,2.9206112373953506,3.403886370832204
541.0,1022.4,986.47,1.9877336340666978,15.0,2.9206112373953506,3.403886370832204
542.0,1021.9,986.49,2.0377423782215454,14.0,2.9206112373953506,2.9034865307043027
543.0,1021.9,986.49,2.0927763855701356,13.0,2.9206112373953506,2.9034865307043027
544.0,1021.9,986.49,2.151809006394387,12.0,2.9206112373953506,2.9034865307043027
545.0,1021.4,986.51,2.214867941887281,11.0,2.9206112373953506,2.403086690576405
546.0,1021.4,986.51,2.280898068743976,10.0,2.9206112373953506,2.403086690576405
547.0,1020.9,986.54,2.347956132469259,9.0,2.9206112373953506,1.9021874991217018
548.0,1020.9,986.54,2.4180134408228584,8.0,2.9206112373953506,1.9021874991217018
549.0,1020.9,986.54,2.488042001253194,7.0,2.9206112373953506,1.9021874991217018
550.0,1019.9,986.58,2.55912875799558,6.0,2.9206112373953506,0.9013878188659064
551.0,1019.9,986.58,2.6281875884342805,5.0,2.9206112373953506,0.9013878188659064
552.0,1019.9,986.58,2.6952476695101697,4.0,2.9206112373953506,0.9013878188659064
