t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,psi_t
225.0,-10.625931573197116,-14.03051607512214,4.615317411619703,53.0,5.554710502807505,26.0,0.021106673371703532
226.0,-10.12436905137923,-14.01969945136522,4.596359840134364,52.0,5.554710502807505,25.5,0.01974803225441458
227.0,-9.623182525747414,-14.00951109372842,4.577604601754066,51.0,5.554710502807505,25.0,0.018242192701196515
228.0,-9.122386455979168,-14.000123597738767,4.558146663941388,50.0,5.554710502807505,24.5,0.01657473376967887
229.0,-8.621987216946343,-13.991703603999245,4.537388880182082,49.0,5.554710502807505,24.0,0.014734078028373345
230.0,-8.121983754514648,-13.984410066209481,4.515340919576285,48.0,5.554710502807505,23.5,0.012711792409205237
231.0,-8.121983754514648,-13.984410066209481,4.492306784938001,47.0,5.554710502807505,23.5,0.010502826381790962
232.0,-7.622368232934297,-13.978392662934382,4.468398331617268,46.0,5.554710502807505,23.0,0.00810567955393409
233.0,-7.12312667327307,-13.973790349497195,4.443320327187767,45.0,5.554710502807505,22.5,0.0055224937464954564
234.0,-6.6242395823425495,-13.970730046373944,4.417966279862263,44.0,5.554710502807505,22.0,0.0027590678061337605
235.0,-6.125682571568934,-13.969325460465868,4.393628770162541,43.0,5.554710502807505,21.5,-0.0001752033052330732
236.0,-5.627426965259271,-13.96967603562667,4.370206265154998,42.0,5.554710502807505,21.0,-0.0032674604807025327
237.0,-5.129440397714163,-13.971866028821285,4.348400194324345,41.0,5.554710502807505,20.5,-0.006501576055666197
238.0,-4.631687398638113,-13.975963708292925,4.329509988439801,40.0,5.554710502807505,20.0,-0.009858403293042915
239.0,-4.134129966298584,-13.982020670115118,4.31433117064511,39.0,5.554710502807505,19.5,-0.01331606838557202
240.0,-4.134129966298584,-13.982020670115118,4.303562534691461,38.0,5.554710502807505,19.5,-0.016850292604307482
241.0,-3.636728127884574,-13.99007126950556,4.297601937127263,37.0,5.554710502807505,19.0,-0.02043473190736761
242.0,-3.1394404865162002,-14.000132163278394,4.296749143247718,36.0,5.554710502807505,18.5,-0.024041321637005324
243.0,-2.642224754355933,-14.01220195981182,4.301611936239716,35.0,5.554710502807505,18.0,-0.027640614790695538
244.0,-2.145038271272796,-14.026260972907641,4.312591019329331,34.0,5.554710502807505,17.5,-0.031202103639236013
245.0,-1.6478385085105105,-14.042271075919555,4.329995197456921,33.0,5.554710502807505,17.0,-0.03469451605383704
246.0,-1.150583556810588,-14.060175652526965,4.354138859751719,32.0,5.554710502807505,16.5,-0.038086079663785466
247.0,-1.150583556810588,-14.060175652526965,4.38492073930647,31.0,5.554710502807505,16.5,-0.04134474877417973
248.0,-0.6532325984416012,-14.079899640530922,4.421944703408219,30.0,5.554710502807505,16.0,-0.044438390723480554
249.0,-0.15574636258545382,-14.101349665049165,4.465406597388417,29.0,5.554710502807505,15.5,-0.04733492996841027
250.0,0.34191243646807834,-14.124414257486745,4.515697878512246,28.0,5.554710502807505,15.0,-0.05000244958908906
251.0,0.8397786788675745,-14.148964156659186,4.572200460391036,27.0,5.554710502807505,14.5,-0.052409251073114185
252.0,1.3378844370359388,-14.174852688444815,4.6336793156195,26.0,5.554710502807505,14.0,-0.05452387414884411
253.0,1.8362585923449442,-14.201916220343044,4.6995247291614515,25.0,5.554710502807505,13.5,-0.05631507909878005
254.0,2.3349264711773827,-14.229974687315307,4.769245488544284,24.0,5.554710502807505,13.0,-0.05775179441166421
255.0,2.8339095009257527,-14.25883218528548,4.841930957789464,23.0,5.554710502807505,12.5,-0.058803032854564265
256.0,3.3332248864763585,-14.288277628676445,4.916736947407294,22.0,5.554710502807505,12.0,-0.059437779098502154
257.0,3.832885307727837,-14.318085468359534,4.992640844282713,21.0,5.554710502807505,11.5,-0.059624851950907894
258.0,4.332898638693036,-14.348016466393759,5.067832571228059,20.0,5.554710502807505,11.0,-0.0593327440739566
259.0,4.833267688733116,-14.377818523931253,5.140212620116019,19.0,5.554710502807505,10.5,-0.05852944183720684
260.0,5.333989966472954,-14.407227558666055,5.208395134780003,18.0,5.554710502807505,10.0,-0.05718222770212053
261.0,5.835057466946617,-14.435968428202665,5.272503665242917,17.0,5.554710502807505,9.5,-0.05525746729890171
262.0,6.3364564825220135,-14.463755895721285,5.3318686114719664,16.0,5.554710502807505,9.0,-0.052720383165222144
263.0,6.838167438153539,-14.490295634316418,5.384832332580097,15.0,5.554710502807505,8.5,-0.04953481700354906
264.0,7.340164751511699,-14.515285266385606,5.430844473928525,14.0,5.554710502807505,8.0,-0.04566298231225312
265.0,7.842416718538715,-14.538415434445035,5.470044326145813,13.0,5.554710502807505,7.5,-0.041065209389681834
266.0,8.34488542497891,-14.559370899748735,5.502656337624584,12.0,5.554710502807505,7.0,-0.03569968504056052
267.0,8.847526684432953,-14.577831665088182,5.528901305865389,11.0,5.554710502807505,6.5,-0.02952218987541951
268.0,9.350290003484824,-14.593474118148926,5.548503561321738,10.0,5.554710502807505,6.0,-0.02248583694118513
269.0,10.355949296297087,-14.614998537700655,5.5619798237677935,9.0,5.554710502807505,5.0,-0.014540816619899153
270.0,10.858712824281966,-14.620225709577484,5.570360370748018,8.0,5.554710502807505,4.5,-0.005634154359155367
271.0,11.361333648859825,-14.621327352588285,5.574998637667996,7.0,5.554710502807505,4.0,0.00429051005696278
272.0,11.863730204407606,-14.61797939510961,5.577546526027372,6.0,5.554710502807505,3.5,0.015293110222497045
273.0,12.36581500831568,-14.609861239348929,5.578679238852152,5.0,5.554710502807505,3.0,0.02743729284064346
274.0,12.867494830994332,-14.596656947149718,5.5779070492434695,4.0,5.554710502807505,2.5,0.04079049016684789
275.0,13.368670897344533,-14.578056417367721,5.5751474886320285,3.0,5.554710502807505,2.0,0.05542390058997061
276.0,13.86923912024193,-14.553756551195011,5.570134226389881,2.0,5.554710502807505,1.5,0.07141234651994602
277.0,14.868110756442098,-14.48688830471999,5.563220960019474,1.0,5.554710502807505,0.5,0.08883397153203362
278.0,15.366181995889072,-14.443758985203695,5.554710502807505,0.0,5.554710502807505,0.0,0.08883397153203362
