t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal
225.0,-10.625931573197118,-14.03051607512214,4.615317411619703,53.0,5.554710502807505,26.0
226.0,-10.12436905137923,-14.01969945136522,4.596359840134364,52.0,5.554710502807505,25.5
227.0,-9.623182525747414,-14.009511093728419,4.577604601754066,51.0,5.554710502807505,25.0
228.0,-9.122386455979168,-14.000123597738769,4.558146663941388,50.0,5.554710502807505,24.5
229.0,-8.621987216946344,-13.991703603999243,4.537388880182082,49.0,5.554710502807505,24.0
230.0,-8.121983754514648,-13.984410066209481,4.515340919576284,48.0,5.554710502807505,23.5
231.0,-8.121983754514648,-13.984410066209481,4.492306784938001,47.0,5.554710502807505,23.5
232.0,-7.622368232934299,-13.97839266293438,4.46839833161727,46.0,5.554710502807505,23.0
233.0,-7.12312667327307,-13.973790349497197,4.443320327187767,45.0,5.554710502807505,22.5
234.0,-6.62423958234255,-13.970730046373946,4.417966279862263,44.0,5.554710502807505,22.0
235.0,-6.125682571568934,-13.969325460465868,4.393628770162541,43.0,5.554710502807505,21.5
236.0,-5.627426965259271,-13.96967603562667,4.370206265154998,42.0,5.554710502807505,21.0
237.0,-5.129440397714163,-13.971866028821285,4.348400194324345,41.0,5.554710502807505,20.5
238.0,-4.631687398638114,-13.975963708292923,4.329509988439801,40.0,5.554710502807505,20.0
239.0,-4.134129966298584,-13.982020670115121,4.31433117064511,39.0,5.554710502807505,19.5
240.0,-4.134129966298584,-13.982020670115121,4.303562534691461,38.0,5.554710502807505,19.5
241.0,-3.636728127884574,-13.99007126950556,4.297601937127263,37.0,5.554710502807505,19.0
242.0,-3.1394404865162002,-14.000132163278392,4.296749143247718,36.0,5.554710502807505,18.5
243.0,-2.642224754355933,-14.012201959811819,4.301611936239716,35.0,5.554710502807505,18.0
244.0,-2.145038271272796,-14.02626097290764,4.312591019329331,34.0,5.554710502807505,17.5
245.0,-1.6478385085105103,-14.042271075919558,4.329995197456921,33.0,5.554710502807505,17.0
246.0,-1.150583556810588,-14.060175652526963,4.354138859751719,32.0,5.554710502807505,16.5
247.0,-1.150583556810588,-14.060175652526963,4.38492073930647,31.0,5.554710502807505,16.5
248.0,-0.6532325984416012,-14.079899640530922,4.421944703408219,30.0,5.554710502807505,16.0
249.0,-0.15574636258545382,-14.101349665049163,4.465406597388417,29.0,5.554710502807505,15.5
250.0,0.34191243646807834,-14.124414257486743,4.515697878512246,28.0,5.554710502807505,15.0
251.0,0.8397786788675745,-14.148964156659186,4.572200460391036,27.0,5.554710502807505,14.5
252.0,1.3378844370359388,-14.174852688444814,4.6336793156195,26.0,5.554710502807505,14.0
253.0,1.8362585923449437,-14.201916220343044,4.69952472916145,25.0,5.554710502807505,13.5
254.0,2.3349264711773827,-14.229974687315307,4.769245488544284,24.0,5.554710502807505,13.0
255.0,2.8339095009257527,-14.25883218528548,4.841930957789464,23.0,5.554710502807505,12.5
256.0,3.3332248864763585,-14.288277628676443,4.916736947407294,22.0,5.554710502807505,12.0
257.0,3.832885307727837,-14.318085468359536,4.992640844282713,21.0,5.554710502807505,11.5
258.0,4.332898638693035,-14.348016466393759,5.067832571228059,20.0,5.554710502807505,11.0
259.0,4.833267688733116,-14.377818523931252,5.14021262011602,19.0,5.554710502807505,10.5
260.0,5.333989966472954,-14.407227558666055,5.208395134780003,18.0,5.554710502807505,10.0
261.0,5.835057466946617,-14.435968428202663,5.272503665242917,17.0,5.554710502807505,9.5
262.0,6.336456482522015,-14.463755895721286,5.3318686114719664,16.0,5.554710502807505,9.0
263.0,6.838167438153539,-14.490295634316418,5.384832332580096,15.0,5.554710502807505,8.5
264.0,7.340164751511699,-14.515285266385604,5.430844473928525,14.0,5.554710502807505,8.0
265.0,7.842416718538715,-14.538415434445037,5.470044326145813,13.0,5.554710502807505,7.5
266.0,8.34488542497891,-14.559370899748734,5.502656337624584,12.0,5.554710502807505,7.0
267.0,8.847526684432953,-14.577831665088182,5.528901305865389,11.0,5.554710502807505,6.5
268.0,9.350290003484824,-14.593474118148926,5.548503561321738,10.0,5.554710502807505,6.0
269.0,10.355949296297089,-14.614998537700652,5.561979823767793,9.0,5.554710502807505,5.0
270.0,10.858712824281968,-14.620225709577484,5.570360370748018,8.0,5.554710502807505,4.5
271.0,11.361333648859823,-14.621327352588283,5.574998637667995,7.0,5.554710502807505,4.0
272.0,11.863730204407606,-14.61797939510961,5.577546526027372,6.0,5.554710502807505,3.5
273.0,12.36581500831568,-14.609861239348932,5.57867923885215,5.0,5.554710502807505,3.0
274.0,12.867494830994332,-14.596656947149718,5.57790704924347,4.0,5.554710502807505,2.5
275.0,13.368670897344533,-14.578056417367721,5.575147488632028,3.0,5.554710502807505,2.0
276.0,13.869239120241932,-14.553756551195011,5.570134226389881,2.0,5.554710502807505,1.5
277.0,14.8681107564421,-14.48688830471999,5.563220960019474,1.0,5.554710502807505,0.5
278.0,15.366181995889072,-14.443758985203694,5.554710502807505,0.0,5.554710502807505,0.0
