t,x_t,y_t,v_t,t_to_goal,v_at_goal,d_to_goal,front_v,front_d
514.0,1.9640766078727943,13.575828913546946,3.783463854723605,39.0,5.919440988809669,21.0,25,21.5
515.0,1.9640766078727943,13.575828913546946,3.864033572576719,38.0,5.919440988809669,21.0,25,21.5
516.0,2.018846921063666,13.084157110109562,3.9547608271550376,37.0,5.919440988809669,20.5,25,21.0
517.0,2.08187425077244,12.585808614952622,4.055449176108609,36.0,5.919440988809669,20.0,25,20.5
518.0,2.151874574483333,12.083066553611705,4.16532162743767,35.0,5.919440988809669,19.5,25,20.0
519.0,2.22774316950229,11.577817355895458,4.28199333138201,34.0,5.919440988809669,19.0,25,19.5
520.0,2.22774316950229,11.577817355895458,4.403464318011445,33.0,5.919440988809669,19.0,25,19.5
521.0,2.308540635244192,11.071593332727442,4.528220119428824,32.0,5.919440988809669,18.5,25,19.0
522.0,2.3934795735948526,10.565612637356185,4.654356798742443,31.0,5.919440988809669,18.0,25,18.5
523.0,2.4819119118522117,10.06081668474486,4.7800636658940014,30.0,5.919440988809669,17.5,25,18.0
524.0,2.5733168527510877,9.557905102951583,4.903817583271222,29.0,5.919440988809669,17.0,25,17.5
525.0,2.66728943607594,9.057368290311576,5.024586153107537,28.0,5.919440988809669,16.5,25,17.0
526.0,2.7635296963660103,8.559517652232277,5.142092780182014,27.0,5.919440988809669,16.0,25,16.5
527.0,2.861832401217338,8.064513591412595,5.255867490719301,26.0,5.919440988809669,15.5,25,16.0
528.0,2.9620773546859134,7.57239132529757,5.365815804702953,25.0,5.919440988809669,15.0,25,15.5
529.0,3.0642202502965254,7.083084604579344,5.471506602390241,24.0,5.919440988809669,14.5,25,15.0
530.0,3.168284058161607,6.596447406555981,5.5722734722911795,23.0,5.919440988809669,14.0,25,14.5
531.0,3.2743509307145224,6.112273677158829,5.667821262178263,22.0,5.919440988809669,13.5,25,14.0
532.0,3.4930733319581755,5.150297634471158,5.757528359461202,21.0,5.919440988809669,12.5,25,13.0
533.0,3.606123179410387,4.67193489204384,5.8407852982283135,20.0,5.919440988809669,12.0,25,12.5
534.0,3.7219519229115807,4.194941765684231,5.916439768137591,19.0,5.919440988809669,11.5,25,12.0
535.0,3.8408332793133333,3.719045045091786,5.983324360253253,18.0,5.919440988809669,11.0,25,11.5
536.0,3.963061605338053,3.2439930962339005,6.041020547059909,17.0,5.919440988809669,10.5,25,11.0
537.0,4.218810800096945,2.295572394618354,6.089428966660175,16.0,5.919440988809669,9.5,25,10.0
538.0,4.352981458803482,1.8218748695305607,6.128595180789803,15.0,5.919440988809669,9.0,25,9.5
539.0,4.491790782659496,1.3483743613951447,6.158026193513633,14.0,5.919440988809669,8.5,25,9.0
540.0,4.635570520669102,0.8750232491712033,6.177962414906714,13.0,5.919440988809669,8.0,25,8.5
541.0,4.939349786044978,-0.07116249821071463,6.189404757325215,12.0,5.919440988809669,7.0,25,7.5
542.0,5.099986376841578,-0.5438312453181169,6.192409417989091,11.0,5.919440988809669,6.5,25,7.0
543.0,5.266862873429597,-1.0160193174518035,6.187711119630586,10.0,5.919440988809669,6.0,25,6.5
544.0,5.440270653575627,-1.4875145490146515,6.176535982247655,9.0,5.919440988809669,5.5,25,6.0
545.0,5.80777372949432,-2.4273378260623417,6.159698522655147,8.0,5.919440988809669,4.5,25,5.0
546.0,6.002375932025627,-2.895010367972265,6.137730774480093,7.0,5.919440988809669,4.0,25,4.5
547.0,6.204521070825184,-3.3606861555594953,6.11148071174245,6.0,5.919440988809669,3.5,25,4.0
548.0,6.414418161472794,-3.823942983417531,6.082162235586946,5.0,5.919440988809669,3.0,25,3.5
549.0,6.632257174377065,-4.284328645908179,6.050615125753744,4.0,5.919440988809669,2.5,25,3.0
550.0,7.0924231119466015,-5.194556431199061,6.017594909928717,3.0,5.919440988809669,1.5,25,2.0
551.0,7.335031483417051,-5.643387867459587,5.984533191486199,2.0,5.919440988809669,1.0,25,1.5
552.0,7.58614445653736,-6.087336902765372,5.95193579434456,1.0,5.919440988809669,0.5,25,1.0
553.0,7.845852834061418,-6.525875321068739,5.919440988809669,0.0,5.919440988809669,0.0,25,0.5
554.0,8.217701437565616,-7.127469609854192,5.886920362974176,24.0,4.864009281446737,13.336669510058602,25,13.782403014332234
555.0,8.546723399924218,-7.639828990863961,5.853641496538715,23.0,4.864009281446737,12.727732459396076,25,13.173465963669708
556.0,8.902768434209259,-8.157257714475339,5.819702714915943,22.0,4.864009281446737,12.099608626505367,25,12.545342130778998
557.0,9.154587380284203,-8.50312633266693,5.785206403405154,21.0,4.864009281446737,11.671768141390373,25,12.117501645664005
558.0,9.553163342446004,-9.02045321513832,5.74989248682095,20.0,4.864009281446737,11.018672351422207,25,11.464405855695839
559.0,9.975753346133471,-9.532588545640113,5.713939304017851,19.0,4.864009281446737,10.354659385661563,25,10.800392889935194
560.0,10.270263921587382,-9.869227738107982,5.677462961570071,18.0,4.864009281446737,9.907362941098835,25,10.353096445372467
561.0,10.730369802483658,-10.36415973651779,5.6401599135130915,17.0,4.864009281446737,9.231558065166446,25,9.677291569440078
562.0,11.048846160520949,-10.68576723030933,5.601848195908204,16.0,4.864009281446737,8.778930140615833,25,9.224663644889464
563.0,11.543333511958561,-11.152807464782141,5.562124818808007,15.0,4.864009281446737,8.098699734944727,25,8.544433239218359
564.0,11.883686048134255,-11.452257638667351,5.5204617850321185,14.0,4.864009281446737,7.645349926741735,25,8.091083431015367
565.0,12.409420463445734,-11.88071767735817,5.4774534009884555,13.0,4.864009281446737,6.967072769954053,25,7.412806274227685
566.0,12.769559573314847,-12.150884910107052,5.433146834938294,12.0,4.864009281446737,6.516840185056015,25,6.962573689329647
567.0,13.323406645832724,-12.530076321170874,5.387679608143008,11.0,4.864009281446737,5.845543262807836,25,6.2912767670814675
568.0,13.701242724950282,-12.763834991553425,5.341409653827349,10.0,4.864009281446737,5.401216623814781,25,5.846950128088412
569.0,14.280068048007086,-13.08306934314525,5.294755100096698,9.0,4.864009281446737,4.740092769782137,25,5.185826274055769
570.0,14.872375806186863,-13.361199011768276,5.247758002232954,8.0,4.864009281446737,4.085615103817256,25,4.531348608090887
571.0,15.27418065885637,-13.521882690206294,5.200011024988312,7.0,4.864009281446737,3.652835112129777,25,4.0985686164034085
572.0,15.886451616907122,-13.722953808405318,5.151186148839896,6.0,4.864009281446737,3.0082395472919377,25,3.453973051565569
